epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.51,0.70938,3.10792,1.04606,0.00424,1,0.68276,0.58849,0.57529,3.45632,0.98404,0.00025722,0.00025722,0.00025722
2,229.624,0.62149,1.99218,0.95269,0.88749,0.54405,0.85419,0.73598,0.5831,3.28925,1.01972,0.000476386,0.000476386,0.000476386
3,345.201,0.60218,1.6075,0.94615,0.9272,0.61905,0.92593,0.74668,0.64229,2.88203,1.04582,0.000641792,0.000641792,0.000641792
4,457.221,0.64587,1.52012,0.93135,0.90631,0.90556,0.96917,0.82017,0.65354,2.21561,1.03516,0.00075344,0.00075344,0.00075344
5,571.025,0.60331,1.40186,0.95121,0.99365,0.61796,0.96648,0.81857,0.63479,2.10821,1.00906,0.000811329,0.000811329,0.000811329
6,695.134,0.60493,1.25815,0.94408,0.86405,0.9382,0.95589,0.84742,0.55422,1.51207,0.96886,0.000721645,0.000721645,0.000721645
7,821.403,0.55714,1.17604,0.92956,0.82672,0.90476,0.97228,0.86905,0.51682,1.5486,0.95199,0.000580174,0.000580174,0.000580174
8,941.36,0.58702,1.17564,0.95141,0.96626,0.99588,0.995,0.88587,0.49787,1.10102,0.93911,0.000438703,0.000438703,0.000438703
9,1059.79,0.53902,1.061,0.90093,0.99189,1,0.995,0.90305,0.48097,0.99732,0.94405,0.000297232,0.000297232,0.000297232
10,1182.49,0.5203,0.97578,0.90845,0.99079,1,0.995,0.90528,0.44961,0.94238,0.92876,0.000155761,0.000155761,0.000155761
